first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Don,Beyer,"Beyer, Don",H4VA08224,0.93,HOUSE,0.97,HOUSE,0.97,HOUSE
Morgan,Griffith,"Griffith, Morgan",H0VA09055,0.21,HOUSE,0.07,HOUSE,0.13,HOUSE
Barbara,Comstock,"Comstock, Barbara",H4VA10089,0.19,HOUSE,,,0.19,HOUSE
Jennifer,Wexton,"Wexton, Jennifer",H8VA10106,,,0.97,HOUSE,,
Gerry,Connolly,"Connolly, Gerry",H8VA11062,0.86,HOUSE,0.97,HOUSE,1,HOUSE
Suzan,DelBene,"DelBene, Suzan",H0WA08046,0.86,HOUSE,0.97,HOUSE,0.97,HOUSE
Rick,Larsen,"Larsen, Rick",H0WA02080,0.86,HOUSE,0.93,HOUSE,0.97,HOUSE
Jaime,Herrera Beutler,"Herrera Beutler, Jaime",H0WA03187,0.18,HOUSE,0.24,HOUSE,0.16,HOUSE
Dan,Newhouse,"Newhouse, Dan",H4WA04104,0.12,HOUSE,0.14,HOUSE,0.19,HOUSE
Cathy,McMorris Rodgers,"McMorris Rodgers, Cathy",H4WA05077,0.11,HOUSE,0.1,HOUSE,0.19,HOUSE
Derek,Kilmer,"Kilmer, Derek",H2WA06129,0.79,HOUSE,0.97,HOUSE,0.94,HOUSE
Pramila,Jayapal,"Jayapal, Pramila",H6WA07458,0.97,HOUSE,1,HOUSE,1,HOUSE
Dave,Reichert,"Reichert, Dave",H4WA08071,0.26,HOUSE,,,0.28,HOUSE
Kim,Schrier,"Schrier, Kim",H8WA08189,,,0.97,HOUSE,,
Adam,Smith,"Smith, Adam",H6WA09025,0.96,HOUSE,0.97,HOUSE,0.97,HOUSE
Denny,Heck,"Heck, Denny",H0WA03161,0.79,HOUSE,0.93,HOUSE,0.97,HOUSE
David,McKinley,"McKinley, David",H0WV01072,0.04,HOUSE,0.07,HOUSE,0.25,HOUSE
